2005,"194,112.23","5,505.36","8,267.73","56,834.84","6,444.68","32,927.80","10,659.22","1,761.61","1,044.21","317,557.69","94,930.53","103,758.29","1,487.30","10,890.44","14,335.72","11,469.49","27,911.05","9,518.05","18,532.86","292,833.72","18,681.89","11,379.84","11,911.26","41,973.00","22,561.62","2,491.73","3,061.49","28,114.85"
2006,"196,492.25","5,396.12","8,225.67","62,228.59","6,772.96","34,055.70","10,812.66","1,805.96","1,074.31","326,864.22","99,168.73","106,220.93","1,630.20","10,547.65","14,749.27","11,813.64","28,573.82","10,165.63","19,103.15","301,973.00","19,876.12","11,458.39","12,603.77","43,938.28","22,689.17","2,447.26","3,149.41","28,285.84"
2007,"196,733.88","4,958.37","8,240.98","66,174.63","6,792.29","33,423.27","10,565.28","1,885.83",800.98,"329,575.53","101,237.14","107,118.30","1,702.83","9,966.40","14,864.88","12,035.13","29,209.50","10,819.64","19,427.08","306,380.91","20,682.89","11,477.60","12,882.77","45,043.25","22,174.50","2,356.86","3,209.39","27,740.75"
2008,"191,540.50","4,897.95","7,881.32","66,889.20","6,204.32","33,915.63","10,129.83","1,848.19",821.49,"324,128.41","97,359.93","106,968.24","1,668.71","10,165.89","15,444.64","11,679.66","30,689.19","10,623.79","19,414.52","304,014.56","20,788.50","11,872.32","13,445.30","46,106.13","21,888.48","2,419.91","3,098.58","27,406.97"
2009,"189,521.78","4,792.19","7,721.31","66,864.19","6,067.50","30,202.63","8,945.99","1,814.70",965.78,"316,896.06","91,739.41","103,808.94","1,600.87","9,270.57","13,908.86","10,982.29","31,209.81","10,021.98","19,203.20","291,745.91","20,612.19","11,787.50","11,641.07","44,040.76","21,286.53","2,229.53","2,908.92","26,424.97"
2010,"191,025.02","5,470.74","7,847.84","68,814.38","5,957.55","32,871.72","9,158.44","1,864.59","1,018.63","324,028.91","92,453.45","106,748.59","1,608.55","9,794.74","15,056.45","10,327.80","33,082.18","9,020.19","19,101.89","297,193.84","21,161.22","12,464.09","12,542.93","46,168.24","21,624.65","2,344.63","2,885.49","26,854.76"
2011,"190,212.34","5,834.22","7,901.61","68,566.68","5,650.26","35,246.86","9,136.80","1,873.35",788.73,"325,210.84","96,668.86","109,912.26","1,609.65","10,603.33","16,367.97","10,444.77","33,267.20","8,979.41","20,002.80","307,856.25","21,609.91","13,467.93","13,824.67","48,902.51","22,555.77","2,530.74","2,862.78","27,949.29"
2012,"189,895.61","6,077.42","8,134.27","69,989.74","5,428.89","36,886.19","9,183.48","1,891.92",744.96,"328,232.47","99,513.19","112,673.39","1,639.37","11,323.73","16,844.74","10,663.19","32,919.38","9,025.36","19,846.32","314,448.66","22,460.14","14,145.81","14,192.66","50,798.62","23,475.21","2,703.93","2,875.51","29,054.65"
2013,"191,643.73","6,274.09","8,072.98","71,591.63","5,155.64","35,779.27","9,379.77","2,197.78",903.58,"330,998.50","101,026.70","115,019.23","1,606.29","11,667.56","16,650.45","11,442.21","32,510.49","9,029.69","19,782.86","318,735.50","23,053.97","14,281.17","14,199.91","51,535.05","23,547.26","2,779.55","3,076.09","29,402.89"
2014,"195,601.92","6,206.57","8,294.76","72,245.16","4,941.01","35,804.64","9,593.59","2,491.92",908.25,"336,087.84","105,805.81","118,511.45","1,580.43","12,084.76","16,552.14","11,737.73","31,264.38","9,185.13","19,761.37","326,483.19","24,001.16","14,762.47","14,320.28","53,083.91","24,377.91","2,895.21","3,155.52","30,428.64"
2015,"198,068.14","6,026.13","8,351.70","72,802.56","4,773.51","33,326.66","9,540.48","2,737.27",867.63,"336,494.06","110,538.74","126,799.77","1,525.24","12,490.94","15,457.45","12,237.56","31,443.56","9,433.55","19,841.93","339,768.75","25,088.17","15,014.51","13,498.65","53,601.33","25,281.05","3,015.70","3,269.69","31,566.44"
2016,"204,270.34","6,515.84","8,694.92","75,207.40","4,503.18","33,774.41","10,138.01","2,782.24",879.96,"346,766.31","112,141.34","132,220.94","1,609.36","12,774.17","15,113.58","12,602.96","31,405.80","9,725.60","20,048.43","347,642.19","26,205.79","15,248.49","13,369.65","54,823.93","26,093.23","3,106.44","3,377.85","32,577.53"
2017,"208,650.70","7,118.43","9,312.73","77,800.38","4,443.22","35,660.01","10,802.54","2,765.87",883.40,"357,437.31","112,969.14","132,542.30","1,821.84","13,150.07","15,361.93","12,912.22","30,989.89","9,405.21","20,262.57","349,415.13","26,755.32","15,592.10","14,006.54","56,353.96","27,235.39","3,206.97","3,568.35","34,010.71"
"Source: Calculated by USDA, Economic Research Service, from various sources. See the Technical Bulletin by Abigail M. Okrent, Howard Elitzak, Tim Park and Sarah Rehkamp. Measuring the Value of the U.S. Food System: Revisions to the Food Expenditure Series, August, 2018.  
","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018.","Source: Calculated by USDA, Economic Research Service, from various sources, July 19, 2018."
"Notes: Expenditures are for all purchasers. NEC = not elsewhere classified. See the Technical Bulletin for more details on outlet definitions.
",Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.,Notes: NEC = not elsewhere classified.
